"DisNo.","Historic","Classification Key","Disaster Group","Disaster Subgroup","Disaster Type","Disaster Subtype","External IDs","Event Name","ISO","Country","Subregion","Region","Location","Origin","Associated Types","OFDA/BHA Response","Appeal","Declaration","AID Contribution ('000 US$)","Magnitude","Magnitude Scale","Latitude","Longitude","River Basin","Start Year","Start Month","Start Day","End Year","End Month","End Day","Total Deaths","No. Injured","No. Affected","No. Homeless","Total Affected","Reconstruction Costs ('000 US$)","Reconstruction Costs, Adjusted ('000 US$)","Insured Damage ('000 US$)","Insured Damage, Adjusted ('000 US$)","Total Damage ('000 US$)","Total Damage, Adjusted ('000 US$)","CPI","Admin Units","Entry Date","Last Update"
"2014-0448-ITA","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood",NA,NA,"ITA","Italy","Southern Europe","Europe","Genova district (Liguria province), Torino district (Piemonte province), Parma district (Emilia-romagna province), Padova district (Veneto province), Brescia district (Lombardia province)","Torrential rain","Slide (land, mud, snow, rock)","No","No","No",NA,NA,"Km2",NA,NA,NA,2014,10,8,2014,10,11,1,NA,NA,NA,NA,NA,NA,NA,NA,303000,389989,77.6944061345599,NA,"2014-11-07","2023-09-25"
"2014-0458-ITA","No","nat-met-sto-lig","Natural","Meteorological","Storm","Lightning/Thunderstorms",NA,NA,"ITA","Italy","Southern Europe","Europe","Moscazzano town (Cremona district, Lombardia province), Crevacuore town (Biella district, Piemonte province), Milano district (Lombardia province)",NA,"Flood|Slide (land, mud, snow, rock)","No","No","No",NA,NA,"Kph",NA,NA,"Seveso, Lambro",2014,11,12,2014,11,16,5,NA,NA,NA,NA,NA,NA,NA,NA,250000,321773,77.6944061345599,NA,"2014-11-21","2023-09-25"
"2014-0502-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Ferry 'Norman Atlantic'","ITA","Italy","Southern Europe","Europe","Near Bari",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2014,12,28,2014,12,28,31,NA,477,NA,477,NA,NA,NA,NA,NA,NA,77.6944061345599,NA,"2015-01-05","2023-09-25"
"2014-0561-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe","Mediterranean Sea",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2014,8,23,2014,8,23,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.6944061345599,NA,"2015-04-02","2023-09-25"
"2015-0047-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe","Au large de Lampedusa",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2015,2,8,2015,2,8,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7865676599233,NA,"2015-02-18","2023-09-25"
"2015-0064-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe","Near Sicilia",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2015,3,4,2015,3,4,50,NA,127,NA,127,NA,NA,NA,NA,NA,NA,77.7865676599233,NA,"2015-03-04","2023-09-25"
"2015-0081-ITA","No","nat-met-sto-sev","Natural","Meteorological","Storm","Severe weather",NA,NA,"ITA","Italy","Southern Europe","Europe","Milano district (Lombardia province), Toscane, Liguria, Abruzzi, Umbria, Marche, Puglia, Campania, Emilia-Romagna provinces",NA,"Flood|Snow/ice","No","No","No",NA,200,"Kph",NA,NA,NA,2015,3,2,2015,3,9,3,NA,NA,NA,NA,NA,NA,276000,354817,869000,1117159,77.7865676599233,NA,"2015-03-11","2023-09-25"
"2015-0182-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe","Near Catane (Sicilia)",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2015,5,5,2015,5,5,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7865676599233,NA,"2015-05-21","2023-09-25"
"2015-0276-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe","Sicilia",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2015,7,11,2015,7,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7865676599233,NA,"2015-07-23","2023-09-25"
"2015-0304-ITA","No","tec-ind-exp-exp","Technological","Industrial accident","Explosion (Industrial)","Explosion (Industrial)",NA,"Firework factory","ITA","Italy","Southern Europe","Europe","Near Bari",NA,NA,"No","No","No",NA,NA,"m3",NA,NA,NA,2015,7,24,2015,7,24,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7865676599233,NA,"2015-07-31","2023-09-25"
"2015-0356-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe","Near Lempedusa",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2015,8,13,2015,8,13,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7865676599233,NA,"2015-08-13","2023-09-25"
"2015-0378-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe",NA,NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2015,8,26,2015,8,26,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7865676599233,NA,"2015-08-28","2023-09-25"
"2015-0404-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe",NA,NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2015,9,3,2015,9,3,31,NA,91,NA,91,NA,NA,NA,NA,NA,NA,77.7865676599233,NA,"2015-09-04","2024-08-27"
"2015-0465-ITA","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood",NA,NA,"ITA","Italy","Southern Europe","Europe","L'Aquila district (Abruzzi province), Tivoli city (Roma district, Lazio province), Frosinone district (Lazio province); Benevento (Campania region); Palermo, Messina, Trapani districts (Sicilia province)","Heavy rains","Slide (land, mud, snow, rock)","No","No","No",NA,NA,"Km2",NA,NA,NA,2015,10,14,2015,10,16,4,NA,50,NA,50,NA,NA,NA,NA,163000,209548,77.7865676599233,NA,"2015-10-23","2023-09-25"
"2015-0532-ITA","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood",NA,NA,"ITA","Italy","Southern Europe","Europe","Reggio Calabria, Catanzaro districts (Calabria province); Messina, Catania districts (Sicilia province)",NA,NA,"No","No","No",NA,NA,"Km2",NA,NA,NA,2015,11,1,2015,11,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7865676599233,NA,"2015-12-10","2024-10-25"
"2015-0598-ITA","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood",NA,NA,"ITA","Italy","Southern Europe","Europe","Corigiano Calabro, Rossano Calabro (Cosenza province, Calabria)","Heavy rains",NA,"No","No","Yes",NA,NA,"Km2",NA,NA,NA,2015,8,11,2015,8,12,NA,NA,500,NA,500,NA,NA,NA,NA,111000,142698,77.7865676599233,NA,"2016-04-06","2023-09-25"
"2016-0258-ITA","No","tec-tra-rai-rai","Technological","Transport","Rail","Rail",NA,NA,"ITA","Italy","Southern Europe","Europe","Pouilles",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2016,7,12,2016,7,12,25,52,NA,NA,52,NA,NA,NA,NA,NA,NA,78.7679229975209,NA,"2016-08-03","2023-09-25"
"2016-0313-ITA","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NA,NA,"ITA","Italy","Southern Europe","Europe","Amatrice, Accumoli, Pescara del Tronto, Arquataa, Posta (Rieti and Ascoli Piceno provinces)",NA,NA,"No","No","Yes",NA,6.2,"Moment Magnitude",42.723,13.187,NA,2016,8,24,2016,8,24,296,400,4454,NA,4854,NA,NA,75000,95216,5e+06,6347762,78.7679229975209,NA,"2016-08-29","2023-09-25"
"2016-0357-ITA","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NA,NA,"ITA","Italy","Southern Europe","Europe","Visso, Ussita (Macerata district, Marche province)",NA,NA,"No","No","No",NA,6.1,"Moment Magnitude",42.934,13.043,NA,2016,10,26,2016,10,26,1,24,3003,NA,3027,NA,NA,NA,NA,2e+05,253910,78.7679229975209,NA,"2016-11-16","2023-09-25"
"2016-0358-ITA","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NA,NA,"ITA","Italy","Southern Europe","Europe","Norcia (Perugia district, Umbria province)",NA,NA,"No","No","No",NA,6.5,"Moment Magnitude",42.855,13.088,NA,2016,10,30,2016,10,30,NA,20,22272,NA,22292,NA,NA,NA,NA,2e+05,253910,78.7679229975209,NA,"2016-11-16","2023-09-25"
"2016-0453-ITA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood",NA,NA,"ITA","Italy","Southern Europe","Europe","Piémont, Liguria provinces","Heavy rains",NA,"No","No","No",NA,NA,"Km2",NA,NA,"Po, Tanaro, Bormida, Pellice and Dora Riparia rivers",2016,11,23,2016,11,25,2,NA,400,NA,400,NA,NA,NA,NA,1e+05,126955,78.7679229975209,NA,"2016-11-28","2023-09-25"
"2017-0015-ITA","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NA,NA,"ITA","Italy","Southern Europe","Europe","Avezzano, Campotosto, Montereale, Capitignano, Ortolano di Campoposto, Mopolino (L’Aquila); Csatel Castagna, Csatigkione Messer Raimondo, Prati di Tivo (Teramao); Abruzzo (Pescara), Lazio (Rieti), Marche (Ascoli Piceno, Macerata, Fermo, Ancona) region",NA,"Avalanche (Snow, Debris)","No","No","No",NA,5.3,"Moment Magnitude",42.601,13.227,"13.227",2017,1,18,2017,1,19,29,11,NA,NA,11,NA,NA,6000,7458,18000,22375,80.4457792619455,NA,"2017-01-20","2023-09-25"
"2017-0024-ITA","No","tec-tra-roa-roa","Technological","Transport","Road","Road",NA,NA,"ITA","Italy","Southern Europe","Europe","San Martino Buon Albergo (near Vérone)",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2017,1,21,2017,1,21,16,13,NA,NA,13,NA,NA,NA,NA,NA,NA,80.4457792619455,NA,"2017-01-23","2023-09-25"
"2017-0328-ITA","No","nat-met-sto-sev","Natural","Meteorological","Storm","Severe weather",NA,NA,"ITA","Italy","Southern Europe","Europe","Tramontina (Pordenone & Udine-Frioul region); Marziai (Belluno-Dolomites), Cortina d'Ampezzo (Belluno), Alto Adige, Lago di Garda (Verona), Adige Valley",NA,"Flood|Hail","No","No","No",NA,NA,"Kph",NA,NA,NA,2017,8,5,2017,8,6,4,NA,NA,NA,NA,NA,NA,NA,NA,3500,4351,80.4457792619455,NA,"2017-08-07","2023-09-25"
"2017-0349-ITA","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NA,NA,"ITA","Italy","Southern Europe","Europe","Casamicciola Terme, Lacco Ameno (Ischia Isl.), near Flegrea coast of Campania (Naples province)",NA,NA,"No","No","No",NA,4.3,"Moment Magnitude",NA,NA,NA,2017,8,23,2017,8,23,2,42,2600,NA,2642,NA,NA,NA,NA,NA,NA,80.4457792619455,NA,"2017-08-23","2023-09-25"
"2017-0408-ITA","No","nat-met-sto-lig","Natural","Meteorological","Storm","Lightning/Thunderstorms",NA,NA,"ITA","Italy","Southern Europe","Europe","Livourne, Rosignano, Chioma",NA,"Flood|Slide (land, mud, snow, rock)","No","No","No",NA,NA,"Kph",NA,NA,NA,2017,9,9,2017,9,10,9,NA,1000,NA,1000,NA,NA,NA,NA,216000,268504,80.4457792619455,NA,"2017-10-05","2023-09-25"
"2017-0423-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe","Near Salerne",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2017,11,5,2017,11,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.4457792619455,NA,"2017-11-06","2023-09-25"
"2017-0544-ITA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood",NA,NA,"ITA","Italy","Southern Europe","Europe","Emilia Romagna (between Sorbolo and Boretto (Parma, Reggio Emilia), Lentigione village, Brescello, Colorno), Tuscany (Lucca)","Snowmelt, Rain",NA,"No","No","No",NA,27560.36,"Km2",45.457,105.881,"Po, Enza, Parma",2017,12,11,2017,12,12,NA,NA,1000,NA,1000,NA,NA,48000,59668,125000,155384,80.4457792619455,NA,"2018-01-25","2023-09-25"
"2017-0579-ITA","No","tec-mis-mis-mis","Technological","Miscellaneous accident","Miscellaneous accident (General)","Miscellaneous accident (General)",NA,"Stampede","ITA","Italy","Southern Europe","Europe","Turin",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2017,6,3,2017,6,3,1,1500,NA,NA,1500,NA,NA,NA,NA,NA,NA,80.4457792619455,NA,"2018-07-11","2023-09-25"
"2017-9296-ITA","No","nat-cli-dro-dro","Natural","Climatological","Drought","Drought",NA,NA,"ITA","Italy","Southern Europe","Europe","Calabria, Abruzzo, Campania, Tuscany, Emilia Romagna (Parma, Piacenza ), Puglia, Sardinia, Lazio, Lombardy, Umbria, Marche, Sicily, Piemonte (Alessandria, Asti, Cuneo), Trentino-South Tyrol (Val di Non, Val Sun, Valsugana)",NA,NA,"No","No","No",NA,NA,"Km2",NA,NA,NA,2017,7,NA,2017,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2300000,2859069,80.4457792619455,NA,"2017-07-31","2023-09-25"
"2018-0061-ITA","No","nat-met-ext-col","Natural","Meteorological","Extreme temperature","Cold wave",NA,NA,"ITA","Italy","Southern Europe","Europe",NA,NA,NA,"No","No","No",NA,NA,"°C",NA,NA,NA,2018,2,23,2018,2,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.4106679610351,NA,"2018-02-28","2023-09-25"
"2018-0235-ITA","No","nat-met-ext-hea","Natural","Meteorological","Extreme temperature","Heat wave",NA,NA,"ITA","Italy","Southern Europe","Europe",NA,NA,NA,"No","No","No",NA,40,"°C",NA,NA,NA,2018,8,NA,2018,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.4106679610351,NA,"2018-08-08","2023-09-25"
"2018-0260-ITA","No","tec-tra-roa-roa","Technological","Transport","Road","Road",NA,NA,"ITA","Italy","Southern Europe","Europe","Foggia region (Pouilles)",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2018,8,6,2018,8,6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.4106679610351,NA,"2018-08-08","2023-09-25"
"2018-0296-ITA","No","tec-mis-col-col","Technological","Miscellaneous accident","Collapse (Miscellaneous)","Collapse (Miscellaneous)",NA,"Bridge","ITA","Italy","Southern Europe","Europe","Gênes",NA,NA,"No","No","Yes",NA,NA,NA,NA,NA,NA,2018,8,14,2018,8,14,43,16,630,NA,646,NA,NA,NA,NA,NA,NA,82.4106679610351,NA,"2018-08-14","2023-09-25"
"2018-0308-ITA","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood",NA,NA,"ITA","Italy","Southern Europe","Europe","Cosenza (Calabria)",NA,NA,"No","No","No",NA,NA,"Km2",NA,NA,NA,2018,8,21,2018,8,21,10,NA,23,NA,23,NA,NA,NA,NA,NA,NA,82.4106679610351,NA,"2018-08-23","2023-09-25"
"2018-0397-ITA","No","nat-met-sto-ext","Natural","Meteorological","Storm","Extra-tropical storm",NA,"Storm 'Adrian'","ITA","Italy","Southern Europe","Europe","Liguria and Lazio municipalities; Trento Province, Belluno Province, Bolzano Province, Savona Province, Naples, Emilia-Romagna Region, Veneto, LiToscana, Piemonte, Lazio, Sardegna",NA,"Flood|Slide (land, mud, snow, rock)","No","No","Yes",NA,NA,"Kph",NA,NA,NA,2018,10,29,2018,11,4,12,NA,2200,NA,2200,NA,NA,NA,NA,1100000,1334779,82.4106679610351,NA,"2018-11-05","2023-09-25"
"2018-0461-ITA","No","nat-geo-vol-vol","Natural","Geophysical","Volcanic activity","Volcanic activity (General)",NA,"Mount Etna","ITA","Italy","Southern Europe","Europe","Acicatena, Acireale, Aci Sant’Antonio, Santa Venerina, Viagrande and Zafferana Etnea (Catane, Sicily)",NA,"Earthquake","No","No","No",NA,NA,NA,NA,NA,NA,2018,12,24,2018,12,26,NA,28,300,NA,328,NA,NA,NA,NA,115000,139545,82.4106679610351,NA,"2019-01-02","2023-09-25"
"2019-0195-ITA","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)",NA,NA,"ITA","Italy","Southern Europe","Europe","San Martino di Villafranca (Forlì Province, Emilia-Romagna Region)","Heavy rains",NA,"No","No","No",NA,NA,"Km2",NA,NA,NA,2019,5,15,2019,5,15,NA,NA,1200,NA,1200,NA,NA,NA,NA,NA,NA,83.9041700601057,NA,"2019-05-15","2023-09-25"
"2019-0296-ITA","No","nat-met-ext-hea","Natural","Meteorological","Extreme temperature","Heat wave",NA,NA,"ITA","Italy","Southern Europe","Europe","Marche Region, Veneto Region, Milan",NA,NA,"No","No","No",NA,NA,"°C",NA,NA,NA,2019,6,26,2019,6,30,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.9041700601057,NA,"2019-07-05","2023-09-25"
"2019-0512-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe","Lampedusa",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2019,10,7,2019,10,7,23,NA,22,NA,22,NA,NA,NA,NA,NA,NA,83.9041700601057,NA,"2019-10-28","2023-09-25"
"2019-0533-ITA","No","nat-met-sto-ext","Natural","Meteorological","Storm","Extra-tropical storm",NA,"Storm 'Amelie'","ITA","Italy","Southern Europe","Europe","Liguria, Tuscany, Campania",NA,"Flood|Slide (land, mud, snow, rock)","No","No","No",NA,NA,"Kph",NA,NA,NA,2019,11,3,2019,11,3,NA,NA,12,NA,12,NA,NA,NA,NA,NA,NA,83.9041700601057,NA,"2019-11-05","2023-09-25"
"2019-0543-ITA","No","nat-met-sto-sev","Natural","Meteorological","Storm","Severe weather",NA,NA,"ITA","Italy","Southern Europe","Europe","Albano Laziale (Lazio Region); Emilia-Romagna; Martello Municipality (Trentino-South Tyrol Region); Tuscany; Venice",NA,"Flood|Slide (land, mud, snow, rock)","No","No","Yes",NA,NA,"Kph",NA,NA,NA,2019,11,12,2019,11,18,2,NA,200,NA,200,NA,NA,NA,NA,NA,NA,83.9041700601057,NA,"2019-11-19","2023-09-25"
"2019-0558-ITA","No","nat-met-sto-sev","Natural","Meteorological","Storm","Severe weather",NA,NA,"ITA","Italy","Southern Europe","Europe","Piedmont, Liguria, Aosta Valley, Lombardy, Campania, Calabria regions",NA,"Slide (land, mud, snow, rock)|Surge","No","No","No",NA,NA,"Kph",NA,NA,NA,2019,11,23,2019,11,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.9041700601057,NA,"2019-11-25","2023-09-25"
"2020-0051-ITA","No","nat-met-sto-ext","Natural","Meteorological","Storm","Extra-tropical storm",NA,"Storm 'Ciara' (Sabine)","ITA","Italy","Southern Europe","Europe","Traona (Lombardy)",NA,NA,"No","No","No",NA,NA,"Kph",NA,NA,NA,2020,2,8,2020,2,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.9391981293886,NA,"2020-02-12","2024-04-12"
"2020-0365-ITA","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)",NA,NA,"ITA","Italy","Southern Europe","Europe","Chiareggio Locality (Sondrio Province, Lombardy region)","Heavy rains",NA,"No","No","No",NA,NA,NA,NA,NA,NA,2020,8,12,2020,8,12,3,2,180,NA,182,NA,NA,NA,NA,NA,NA,84.9391981293886,NA,"2020-08-17","2023-09-25"
"2020-0406-ITA","No","nat-met-sto-sev","Natural","Meteorological","Storm","Severe weather",NA,NA,"ITA","Italy","Southern Europe","Europe","Massa, Carrara Province (Tuscany Region); Varese Province (Lombardy Region) Ancona Province (Marche Region); Trentino-South Tyrol Region",NA,"Flood|Hail","No","No","No",NA,NA,"Kph",NA,NA,NA,2020,8,29,2020,8,30,3,20,900,NA,920,NA,NA,NA,NA,60000,70639,84.9391981293886,NA,"2020-09-07","2023-09-25"
"2020-0418-ITA","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NA,"Storm 'Alex'","ITA","Italy","Southern Europe","Europe","Liguria and Piemonte Regions of Italy",NA,"Slide (land, mud, snow, rock)","No","No","No",NA,NA,"Kph",NA,NA,NA,2020,10,2,2020,10,4,7,2,92,NA,94,NA,NA,NA,NA,NA,NA,84.9391981293886,NA,"2020-10-13","2023-09-25"
"2020-0521-ITA","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood",NA,NA,"ITA","Italy","Southern Europe","Europe","Cagliari, Nuoro, Sassari, Oristano (Nuoro Province, central-northern Sardinia)","Heavy rains","Slide (land, mud, snow, rock)","No","No","No",NA,NA,"Km2",NA,NA,NA,2020,11,27,2020,11,28,3,NA,250,NA,250,NA,NA,NA,NA,60000,70639,84.9391981293886,NA,"2020-12-01","2024-10-25"
"2020-0533-ITA","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)",NA,NA,"ITA","Italy","Southern Europe","Europe","Varese, Potenza, Modena, Belluno, Liguria, Venetie, Frioul, Bolzano, Trevise, Vicence Lombardy, Veneto, Trentino-South Tyrol, Friuli-Venezia Giulia, Emilia-Romagna, Campania Regions","Heavy rain","Snow/ice|Storm","No","No","No",NA,NA,"Km2",NA,NA,NA,2020,12,4,2020,12,8,2,NA,453,NA,453,NA,NA,NA,NA,NA,NA,84.9391981293886,NA,"2020-12-08","2023-09-25"
"2020-0540-ITA","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)",NA,NA,"ITA","Italy","Southern Europe","Europe","Crotone and Cosenza provinces (Calabria)","Heavy rains",NA,"No","No","No",NA,NA,"Km2",NA,NA,NA,2020,11,20,2020,11,22,NA,NA,200,NA,200,NA,NA,NA,NA,10000,11773,84.9391981293886,NA,"2020-12-10","2024-10-25"
"2021-0110-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe",NA,NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2021,2,20,2021,2,20,49,NA,77,NA,77,NA,NA,NA,NA,NA,NA,88.9294934772074,NA,"2021-02-26","2023-09-25"
"2021-0114-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe","Near Lampedusa",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2021,2,13,2021,2,13,22,NA,25,NA,25,NA,NA,NA,NA,NA,NA,88.9294934772074,NA,"2021-02-26","2023-09-25"
"2021-0290-ITA","No","tec-tra-rai-rai","Technological","Transport","Rail","Rail",NA,"Cable car","ITA","Italy","Southern Europe","Europe","Stresa (Piémont)",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2021,5,23,2021,5,23,14,1,NA,NA,1,NA,NA,NA,NA,NA,NA,88.9294934772074,NA,"2021-05-25","2023-09-25"
"2021-0411-ITA","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)",NA,NA,"ITA","Italy","Southern Europe","Europe","Lake Garda, Malcesine, and Torri del Benaco",NA,"Hail|Storm","No","No","No",NA,NA,"Km2",NA,NA,NA,2021,7,13,2021,7,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.9294934772074,NA,"2021-07-20","2023-09-25"
"2021-0434-ITA","No","nat-cli-wil-wil","Natural","Climatological","Wildfire","Wildfire (General)",NA,NA,"ITA","Italy","Southern Europe","Europe","Oristano, Nuoro Provinces (Sardinia)",NA,NA,"No","No","Yes",NA,NA,"Km2",NA,NA,NA,2021,7,23,2021,7,25,NA,NA,11600,NA,11600,NA,NA,NA,NA,59000,66345,88.9294934772074,NA,"2021-07-26","2023-09-25"
"2022-0401-ITA","No","nat-cli-glo-glo","Natural","Climatological","Glacial lake outburst flood","Glacial lake outburst flood",NA,NA,"ITA","Italy","Southern Europe","Europe","Marmolada mountain (Dolomite Alps range), between Trento Province in the Trentino-South Tyrol Region and Belluno Province in Veneto Region",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2022,7,3,2022,7,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.0463421255491,NA,"2022-07-05","2023-09-26"
"2022-0465-ITA","No","nat-met-ext-hea","Natural","Meteorological","Extreme temperature","Heat wave",NA,NA,"ITA","Italy","Southern Europe","Europe",NA,NA,NA,"No","No","No",NA,40.8,"°C",NA,NA,NA,2022,5,30,2022,9,4,18010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.0463421255491,NA,"2023-07-17","2023-09-26"
"2022-0525-ITA","No","nat-met-sto-sev","Natural","Meteorological","Storm","Severe weather",NA,NA,"ITA","Italy","Southern Europe","Europe","Stromboli Isl.; Calabia; Sardinia; Tuscany, Liguria, Emilia-Romagna",NA,"Hail|Lightening","No","No","Yes",NA,NA,"Kph",NA,NA,NA,2022,8,14,2022,8,18,2,15,50,NA,65,NA,NA,NA,NA,NA,NA,96.0463421255491,NA,"2022-08-19","2023-09-26"
"2022-0609-ITA","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)",NA,NA,"ITA","Italy","Southern Europe","Europe","Ancona, Pesaro (Marches region)","Heavy rains","Slide (land, mud, snow, rock)|Storm","No","No","Yes",NA,NA,"Km2",NA,NA,"Barbara, Otra and Trecastelli",2022,9,15,2022,9,16,12,33,NA,NA,33,NA,NA,NA,NA,NA,NA,96.0463421255491,NA,"2022-09-20","2024-04-16"
"2022-0775-ITA","No","nat-hyd-mmw-mud","Natural","Hydrological","Mass movement (wet)","Mudslide",NA,NA,"ITA","Italy","Southern Europe","Europe","Casamicciola municipality (northern Ischia Island)","Heavy rains","Flood","No","No","Yes",NA,NA,NA,NA,NA,NA,2022,11,26,2022,11,26,12,5,230,NA,235,NA,NA,NA,NA,NA,NA,96.0463421255491,NA,"2022-11-28","2023-09-26"
"2022-9405-ITA","No","nat-cli-dro-dro","Natural","Climatological","Drought","Drought",NA,NA,"ITA","Italy","Southern Europe","Europe","Émilie-Romagne, Frioul-Vénétie Julienne, Lombardie, Vénétie et dans le Piémont","Lack of rain",NA,"No","No","Yes",NA,NA,"Km2",NA,NA,NA,2022,6,NA,2022,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.0463421255491,NA,"2022-07-05","2023-09-26"
"2023-0075-ITA","No","nat-hyd-mmw-ava","Natural","Hydrological","Mass movement (wet)","Avalanche (wet)",NA,NA,"ITA","Italy","Southern Europe","Europe",NA,NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2023,2,4,2023,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,"2023-02-10","2023-09-26"
"2023-0105-ITA","No","tec-tra-wat-wat","Technological","Transport","Water","Water",NA,"Migrants","ITA","Italy","Southern Europe","Europe","Near Crotone",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,2023,2,26,2023,2,26,64,NA,79,NA,79,NA,NA,NA,NA,NA,NA,100,NA,"2023-02-28","2023-09-26"
